DATAFLOW,LAST UPDATE,freq,entity,indic_bp,fdi_item,partner,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Albania,2022,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Albania,2023,4.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2013,0.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2014,-0.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2015,-0.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2016,-8.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2017,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2018,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2019,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2020,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2021,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2022,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Austria,2023,,,C
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2013,5.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2014,-1.5,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2015,6.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2016,10.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2017,2.9,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2018,7.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2019,3.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2020,2.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2021,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2022,0.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Belgium,2023,3.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2013,1.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2014,0.6,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2015,2.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2016,1.3,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2017,1.8,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2018,1.0,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2019,1.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2020,2.4,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2021,1.2,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2022,2.7,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Bulgaria,2023,2.1,,
ESTAT:TEC00107(1.0),28/03/25 23:00:00,Annual,Total,"Market integration - foreign direct investment intensity - average value of inward and outward foreign direct investment flows divided by GDP, multiplied by 100",Not applicable,Rest of the world,Switzerland,2019,-10.6,,
